Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
Desmo Race,Other,Operating,Maurer AG,2019,44.3389,12.2636,Steel,2019-07-25,49.7,,0,1.2,
Xpress: Platform 13,Walibi Holland,Operating,Vekoma,2000,52.4392,5.7639,Steel,2000-04-01,55.9,,3,,
Apple Zapple (Kings Dominion),Kings Dominion,Operating,Mack Rides,2002,,,Steel,2002-03-22,35.0,,0,,
Hell Cat,Clementon Amusement Park,Operating,S&S – Sansei Technologies,2004,39.802,-74.9847,Wood,2004-09-18,56.0,,0,,4000000.0
Little Dipper (Conneaut Lake Park),Conneaut Lake Park,Operating,Allan Herschell Company,1950,41.6343,-80.3165,Steel,1950-01-01,,,0,,
Alpine Sleigh Ride,Other,Removed,,1968,,,Other,1968-06-01,,,0,,
Powder Keg: A Blast into the Wilderness,Other,,S&S – Sansei Technologies,1999,,,Steel,,64.0,,0,3.9,
Scooby-Doo Spooky Coaster,Warner Bros. Movie World,Operating,Mack Rides,2002,-27.9078,153.3111,Steel,2002-06-17,27.7,55.8,0,2.4,13000000.0
Lech Coaster,Legendia,Operating,Vekoma,2017,,,Steel,2017-07-01,59.0,131.2,3,,12000000.0
Big Dipper (Luna Park Sydney),Other,,,1935,,,Wood,,58.0,,0,,
The Underground (roller coaster),Adventureland (Iowa),Operating,Custom Coasters International,1996,,,Wood,1996-04-27,,,0,,
Ring Racer,Nürburgring,Closed,S&S - Sansei Technologies,2013,50.3361,6.9492,Steel,2013-10-31,99.4,123.0,0,5.6,
Patriot (Worlds of Fun),Worlds of Fun,Operating,Bolliger & Mabillard,2006,39.1753,-94.4889,Steel,2006-04-08,60.0,,4,,14000000.0
Wildfire (Silver Dollar City),Silver Dollar City,Operating,Bolliger & Mabillard,2001,36.6686,-93.3425,Steel,2001-04-04,66.0,,5,3.6,14000000.0
The New Revolution (roller coaster),Six Flags Magic Mountain,Operating,Anton Schwarzkopf,1976,34.4228,-118.5964,Steel,1976-05-08,55.0,,1,4.9,2000000.0
InvadR,Busch Gardens Williamsburg,Operating,Great Coasters International,2017,37.2325,-76.6486,Wood,2017-04-07,48.0,,0,,
Titan (Space World),Space World,Removed,Arrow Dynamics,1994,33.8748,130.8134,Steel,1994-03-05,71.5,,0,3.7,
Road Runner Express (Six Flags Magic Mountain),Other,,Vekoma,2011,,,Steel,,21.7,,0,,
Vortex (Carowinds),Carowinds,Operating,Bolliger & Mabillard,1992,35.1036,-80.9416,Steel,1992-03-14,50.0,,2,,5500000.0
Seven Dwarfs Mine Train,Other,,Vekoma,2014,,,Steel,,34.0,,0,,
Greezed Lightnin' (Kentucky Kingdom),Other,Discontinued,Anton Schwarzkopf,2003,,,Other,,,,2,,
American Eagle (roller coaster),Other,Operating,Intamin,1981,42.3646,-87.9336,Wood,1981-05-23,66.0,,0,,10000000.0
Freestyle (roller coaster),Other,,TOGO,1985,,,Steel,,51.0,87.9,1,,
Kentucky Flyer,Kentucky Kingdom,Operating,Gravitykraft Corporation,2019,38.1943,-85.7443,Wood,2019-04-28,35.0,,0,,5000000.0
Jetstream (roller coaster),Riverview Park,Removed,Philadelphia Toboggan Coasters,1964,41.9418,-87.6907,Wood,1964-01-01,,,0,,
Orion (roller coaster),Kings Island,Operating,Bolliger & Mabillard,2020,39.3427,-84.2627,Steel,2020-07-02,91.0,,0,,30000000.0
Family Inverted Coaster (Happy Valley Shanghai),Happy Valley Shanghai,Operating,Bolliger & Mabillard,2014,31.0973,121.2087,Steel,2014-07-05,30.4,,0,,
Woodstock Express (Carowinds),Carowinds,Operating,Philadelphia Toboggan Coasters,2010,35.101,-80.9394,Wood,1975-01-01,36.0,,0,,
Wonder Woman Golden Lasso Coaster,Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,2018,29.5951,-98.6085,Steel,2018-05-12,52.0,,3,,
Ghoster Coaster (Canada's Wonderland),Canada's Wonderland,Operating,Taft Broadcasting,1981,43.8438,-79.546,Wood,1981-05-23,34.8,41.0,0,,
Mamba (roller coaster),Worlds of Fun,Operating,D. H. Morgan Manufacturing,1998,39.172,-94.4906,Steel,1998-04-18,75.0,,0,3.5,10000000.0
Storm Chaser (roller coaster),Kentucky Kingdom,Operating,Rocky Mountain Construction,1998,38.1958,-85.7503,Steel,2016-04-30,52.0,,3,3.8,10000000.0
Tennessee Tornado,Dollywood,Operating,Arrow Dynamics,1999,35.793,-83.5279,Steel,1999-04-17,63.0,,3,3.7,8000000.0
Round About (roller coaster),"2904 Fantasy Way Myrtle Beach, South Carolina, U.S.",Chapter 7 bankruptcy; rides dismantled and sold; property sold,,2008,33.714,-78.933,Other,,,,0,,
Scenic Railway (roller coaster),Dreamland Margate,Operating,,1920,51.3853,1.3775,Wood,1920-07-03,35.0,,0,,
Accelerator (roller coaster),Drayton Manor,Operating,Vekoma,2011,52.6108,-1.7134,Steel,2011-04-21,37.3,65.6,0,3.0,2100000.0
Colossus the Fire Dragon,Lagoon Amusement Park,Operating,Anton Schwarzkopf,1983,40.9836,-111.8951,Steel,1983-01-01,55.0,,2,4.9,2500000.0
Déjà Vu (roller coaster),Other,In Production,Vekoma,2001,,,Other,,65.6,193.6,0,,
The Raven (roller coaster),Holiday World & Splashin' Safari,Operating,Custom Coasters International,1995,38.1194,-86.9152,Wood,1995-05-06,50.0,,0,,2000000.0
Goliath (Six Flags Over Georgia),Six Flags Over Georgia,Operating,Bolliger & Mabillard,2006,33.7692,-84.55,Steel,2006-04-01,70.0,,0,,20000000.0
MP Xpress,Movie Park Germany,Operating,Vekoma,2001,51.6246,6.9733,Steel,2001-04-06,49.7,109.3,5,,
Lightning (Revere Beach),Revere Beach,Removed,Traver Engineering,1927,42.42,-70.986,Wood,1927-07-02,,,0,,
Backlot Stunt Coaster,Other,,Premier Rides,2008,,,Steel,,40.0,,0,,
Superman: Ultimate Flight,Other,,Bolliger & Mabillard,2002,,,Steel,,51.0,,2,3.0,
Tornado (Coney Island),Coney Island,Removed,,1926,40.574,-73.979,Wood,1926-01-01,,,0,,250000.0
Flyer Comet (Whalom Park),Whalom Park,Removed,National Amusement Devices,1940,42.5762,-71.746,Wood,1940-01-01,40.0,,0,,
The Great Nor'easter,Morey's Piers,Operating,Vekoma,1995,38.9893,-74.8023,Steel,1995-05-26,55.0,,5,,5500000.0
Rugrats Runaway Reptar (Dreamworld),Dreamworld,Operating,Vekoma,2002,-27.8639,153.3169,Steel,2002-12-26,26.0,48.9,0,2.2,
The Joker (Six Flags New England),Other,,S&S – Sansei Technologies,2017,,,Steel,,38.0,,6,,
Wild Mouse (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Removed,Blackpool Pleasure Beach,1958,53.7913,-3.0561,Wood,1958-01-01,35.0,,0,1.8,
Insane Speed,Janfusun Fancyworld,Operating,Bolliger & Mabillard,2001,23.6187,120.5758,Steel,2001-01-01,53.4,,4,4.0,
Megafobia,Oakwood Theme Park,Operating,Custom Coasters International,1996,51.7807,-4.8056,Wood,1996-04-30,48.0,,0,2.75,
Colossus (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Rocky Mountain Construction,1978,34.4278,-118.5975,Steel,2015-05-23,57.0,,2,,
Scooby's Ghoster Coaster,Kings Island,Removed,Caripro,1998,39.3423,-84.2699,Steel,1998-04-18,8.0,,0,1.0,
Sky Scrapper,World Joyland,Operating,Bolliger & Mabillard,2011,31.4975,120.0411,Steel,2011-04-30,54.7,,5,3.3,
Road Runner Express (Six Flags New Orleans),Other,,Vekoma,2000,,,Steel,,21.7,,0,,
RailBlazer,California's Great America,Operating,Rocky Mountain Construction,2018,37.3951,-121.9737,Steel,2018-06-14,52.0,,3,,
Kumba (roller coaster),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,1993,28.0397,-82.4231,Steel,1993-04-20,60.0,,7,3.8,
Cedar Creek Mine Ride,Cedar Point,Operating,Arrow Development,1969,41.4847,-82.6904,Steel,1969-05-24,42.0,,0,,
Flug der Dämonen,Heide Park Resort,Operating,Bolliger & Mabillard,2014,53.0262,9.8796,Steel,2014-03-29,62.1,131.2,5,4.0,15000000.0
Son of Beast,Kings Island,Removed,Roller Coaster Corporation of America,2000,39.3461,-84.2647,Wood,2000-04-28,78.4,,1,4.5,20500000.0
Oblivion (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,1998,52.9866,-1.8965,Steel,1998-03-14,68.4,65.0,0,4.5,12000000.0
Scooby-Doo (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,1972,39.3432,-84.2693,Wood,1972-01-01,35.0,,0,,
Stinger (roller coaster),Other,In Production,Vekoma,2012,,,Other,,50.0,,3,,
Silver Comet (roller coaster),Fantasy Island,Temporarily Closed,Custom Coasters International,1999,43.0283,-78.9739,Wood,1999-05-01,50.0,,0,,
Sandy's Blasting Bronco,Nickelodeon Universe,Operating,Intamin,2020,40.8056,-74.071,Steel,2020-10-01,47.8,,4,,
Loop the Loop (Young's Pier),Other,Removed,Edwin Prescott,1901,39.3538,-74.4342,Steel,1901-01-01,,,1,,
Ice Breaker (roller coaster),SeaWorld Orlando,Under construction,Premier Rides,2022,28.4088,-81.4633,Steel,2022-02-01,52.0,,0,,8200000.0
Max & Moritz (roller coaster),Efteling,Operating,Mack Rides,2020,51.6481,5.0474,Steel,2020-06-20,22.4,19.7,0,,15000000.0
Katapul,Other,Discontinued,Anton Schwarzkopf,1999,,,Other,,,,2,,
Zoomerang (Lake Compounce),Lake Compounce,Operating,Vekoma,1997,41.643,-72.9229,Steel,1997-06-27,47.0,,3,5.2,
T Express,Everland,Operating,Intamin,2008,37.2898,127.2024,Wood,2008-03-14,64.6,183.8,0,,
Goliath (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Giovanola,2000,34.4269,-118.5969,Steel,2000-02-11,85.0,,0,,30000000.0
Stampida,Other,Operating,Custom Coasters International,1997,41.0904,1.1566,Wood,1997-03-17,46.0,,0,,
Alpengeist,Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,1997,37.2328,-76.6476,Steel,1997-03-22,67.0,,6,3.7,20000000.0
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,2005,40.581,-75.5325,Steel,2005-05-07,53.0,,7,,13000000.0
Skyliner (roller coaster),Other,,Philadelphia Toboggan Coasters,1987,,,Wood,,40.0,,0,,
Pitts Special (roller coaster),PowerPark,Operating,Gerstlauer,2020,63.2307,22.8545,Steel,2020-06-24,62.1,142.7,0,4.5,
Storm Runner,Hersheypark,Operating,Intamin,2004,40.2897,-76.6536,Steel,2004-05-08,75.0,,3,5.0,12500000.0
Lego Technic Test Track,Other,,Mack Rides,2001,,,Steel,,35.0,51.8,0,,
Space Mountain: De la Terre à la Lune,Disneyland Park (Paris),Operating,Vekoma,1995,48.8741,2.7793,Steel,2017-05-07,44.0,,3,,
Invertigo (Kings Island),Other,In Production,Vekoma,1999,,,Other,,50.0,,3,,
Mad Mouse (Michigan's Adventure),Michigan's Adventure,Operating,Arrow Dynamics,1999,43.3474,-86.2789,Steel,1999-08-07,33.0,,0,,2000000.0
Eurosat - CanCan Coaster,Europa-Park,Operating,Mack Rides,1989,,,Steel,1989-01-01,37.3,83.7,0,4.0,
Kumali,Flamingo Land,Operating,Vekoma,2006,54.2117,-0.8066,Steel,2006-01-01,54.9,,4,4.7,6000000.0
Harley Quinn Crazy Train,Six Flags Great Adventure,Operating,Zierer,1999,40.1348,-74.4397,Steel,1999-01-01,22.4,,0,,
Big Fury,Six Flags Great Adventure,Removed,Pinfari,1974,40.138,-74.441,Steel,1974-01-01,,,0,,
The Bat (Kings Island; opened 1993),Kings Island,Operating,Arrow Dynamics,2014,39.3476,-84.2652,Steel,1993-04-09,51.0,,0,2.9,
Euro-Mir,Europa-Park,Operating,Mack Rides,1997,48.2647,7.7197,Steel,1997-01-01,49.7,,0,4.0,
Kingda Ka,Six Flags Great Adventure,Operating,Intamin,2005,40.1392,-74.4365,Steel,2005-05-21,128.0,,0,,25000000.0
Raging Spirits,Tokyo DisneySea,Operating,Intamin,2005,35.6277,139.8808,Steel,2005-07-21,37.3,,1,,8000000000.0
Dragonflier,Dollywood,Operating,Vekoma,2019,35.7977,-83.5312,Steel,2019-05-10,46.6,,0,3.5,
Hypersonic XLC,Kings Dominion,Removed,S&S – Sansei Technologies,2001,37.8372,-77.446,Steel,2001-03-24,80.0,,0,4.0,15000000.0
Georgia Scorcher,Six Flags Over Georgia,Operating,Bolliger & Mabillard,1999,33.7703,-84.5506,Steel,1999-05-08,54.0,,2,4.0,
Green Dragon (Lake Compounce),Lake Compounce,Removed,,1914,41.642,-72.923,Wood,1914-01-01,,,0,,
The Beastie (Wonderland Sydney),"Eastern Creek, New South Wales, New South Wales, Australia",,,1985,-33.8012,150.8475,Other,,,,0,,
Whirl Pool Dips,Tolchester Beach Park,Removed,,1913,39.214,-76.231,Wood,1913-01-01,,,0,,50000.0
Journey to Atlantis,SeaWorld Orlando,Operating,Mack Rides,1998,,,Steel,1998-04-17,,,0,,
Golden Wings in Snowfield,Happy Valley Beijing,Operating,Vekoma,2006,39.865,116.4846,Steel,2006-07-09,53.7,,4,,
Renegade (roller coaster),Valleyfair,Operating,Great Coasters International,2007,44.8008,-93.4611,Wood,2007-05-12,51.3,,0,3.9,6500000.0
Greezed Lightnin' (Six Flags Astroworld),Other,Discontinued,Anton Schwarzkopf,1978,,,Other,,,,2,,
Dominator (roller coaster),Other,,Bolliger & Mabillard,2000,,,Steel,,65.0,,5,3.8,
Phantom's Revenge,Kennywood,Operating,D. H. Morgan Manufacturing,2001,40.389,-79.866,Steel,1991-05-10,85.0,,0,3.5,4600000.0
Gold Rush (Slagharen),Attractiepark Slagharen,Operating,Gerstlauer,2017,52.6244,6.5619,Steel,2017-04-13,59.0,,2,,5000000.0
Corkscrew (Silverwood),Other,,Arrow Development,1990,,,Steel,,46.0,,2,,
Ravine Flyer III,Waldameer Park,Operating,E&F Miler Industries,2000,42.109,-80.1565,Steel,2000-01-01,,,0,,
Tron Lightcycle Power Run,Other,,Vekoma,2016,,,Steel,2016-06-16,59.3,,0,4.0,
Scorpion Express,Chessington World of Adventures,Operating,Mack Rides,1987,51.3494,-0.318,Steel,1987-06-07,22.4,15.4,0,,300000.0
Black Diamond (roller coaster),Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,2011,40.8797,-76.5068,Steel,2011-10-08,,,0,,2250000.0
Deep Space (roller coaster),Adlabs Imagica,Operating,Premier Rides,2013,18.7647,-73.2805,Steel,2013-01-01,42.5,,2,,
Goliath (La Ronde),La Ronde,Operating,Bolliger & Mabillard,2006,45.5278,-73.5363,Steel,2006-05-13,68.4,,0,,18700000.0
Whizzer (roller coaster),Other,,Anton Schwarzkopf,1976,,,Other,,42.0,,0,3.0,
Gadget's Go Coaster,Other,,Vekoma,1993,,,Steel,,21.7,,0,,
Road Runner Express (Six Flags Kentucky Kingdom),Other,,Maurer AG,2000,,,Steel,,28.0,,0,,
X-Flight (Six Flags Great America),Six Flags Great America,Operating,Bolliger & Mabillard,2012,42.3654,-87.9338,Steel,2012-05-16,55.0,,5,,12.0
The Bush Beast,Wonderland Sydney,Removed,Taft Broadcasting,1985,-33.8008,150.8512,Wood,1985-12-07,55.9,90.2,0,,
Steel Force,Dorney Park & Wildwater Kingdom,Operating,D. H. Morgan Manufacturing,1997,40.5789,-75.5381,Steel,1997-05-30,75.0,,0,3.4,10000000.0
Booster Bike,Toverland,Operating,Vekoma,2004,51.3975,5.9842,Steel,2004-07-27,46.6,49.2,0,2.5,
Jumbo Jet (Chelyuskintsev Park),Other,,Anton Schwarzkopf,2015,,,Steel,,,,0,,
Wooden Coaster - Fireball,Happy Valley Shanghai,Operating,Martin & Vleminckx,2009,31.0987,121.214,Wood,2009-08-16,56.0,,0,,
T2 (roller coaster),Kentucky Kingdom,Operating,Vekoma,1995,38.1941,-85.747,Steel,1995-04-08,49.7,,5,,
Banshee (roller coaster),Kings Island,Operating,Bolliger & Mabillard,2014,39.3457,-84.2655,Steel,2014-04-18,68.0,,7,,24000000.0
The Ride to Happiness,Plopsaland De Panne,Operating,Mack Rides,2021,51.081,2.5989,Steel,2021-07-01,55.9,,6,,17500000.0
Crazy Bird,Happy Valley Tianjin,Operating,S&S – Sansei Technologies,2013,39.1847,117.4686,Steel,2013-12-22,,,2,,
Steamin' Demon,Great Escape,Operating,Arrow Dynamics,1984,43.3513,-73.6927,Steel,1984-05-26,45.0,,3,,
Fairly Odd Coaster,Nickelodeon Universe,Operating,Gerstlauer,2004,44.8542,-93.2422,Steel,2004-03-15,31.0,,0,3.2,
Condor (roller coaster),Walibi Holland,Operating,Vekoma,1994,52.4404,5.7615,Steel,1994-05-01,49.7,101.7,5,4.5,
Corkscrew (Michigan's Adventure),"Muskegon, Michigan, United States",Operating,,1979,43.3474,-86.2789,Other,,,,0,,
Half Pipe (roller coaster),Other,,Intamin,2003,,,Steel,,43.5,,0,4.5,
Junker (roller coaster),PowerPark,Operating,Gerstlauer,2015,63.2309,22.8555,Steel,2015-05-30,64.9,,3,4.5,
Hurricane (Fun Spot America),"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",Operating,,2019,28.3303,-81.5147,Other,,,,0,,
The Barnstormer at Goofy's Wiseacre Farm,Magic Kingdom,Operating,Vekoma,1996,28.4205,-81.5784,Steel,1996-10-01,25.0,29.9,0,,
Montezooma's Revenge,Knott's Berry Farm,Operating,Anton Schwarzkopf,1978,33.8456,-117.999,Steel,1978-05-21,55.0,,2,,
Shock Wave (Six Flags Over Texas),Six Flags Over Texas,Operating,Anton Schwarzkopf,1978,32.7589,-97.0706,Steel,1978-04-22,60.0,,2,5.9,
Cheetah (Wild Adventures),Wild Adventures,Removed,Custom Coasters International,2001,30.7196,-83.3257,Wood,2001-06-16,52.0,,0,,4500000.0
Boardwalk Bullet,Kemah Boardwalk,Operating,Martin & Vleminckx,2007,29.5463,-95.0173,Wood,2007-08-31,51.0,,0,3.5,1.0
West Coast Racers,Six Flags Magic Mountain,Operating,Premier Rides,2020,34.4217,-118.5992,Steel,2020-01-09,55.0,,4,,
Twisted Timbers,Kings Dominion,Operating,Rocky Mountain Construction,2018,,,Steel,2018-03-24,54.0,,3,,
Aero Dips,"Cleveland, Ohio, United States",Closed,,1909,41.58,-81.57,Other,,,,0,,
Verbolten,Busch Gardens Williamsburg,Operating,Zierer,2012,37.2315,-76.6449,Steel,2012-05-18,53.0,,0,,
Dragon Coaster (Dorney Park),Other,,Zamperla,1992,,,Steel,,15.0,,0,,
Bat (Lagoon),Lagoon Amusement Park,Operating,Vekoma,2005,40.9862,-111.8926,Steel,2005-04-16,,48.6,0,2.2,
Wilderness Run,Cedar Point,Operating,Intamin,1979,41.4856,-82.6886,Steel,1979-01-01,6.0,,0,,
The Thriller (roller coaster),"Cleveland, Ohio, United States",Closed,,1924,41.58,-81.57,Other,,,,0,,
Intimidator 305,Kings Dominion,Operating,Intamin,2010,37.8375,-77.4397,Steel,2010-04-02,90.0,,0,,25000000.0
Drachen Fire,Busch Gardens Williamsburg,Removed,Arrow Dynamics,1992,37.2306,-76.6444,Steel,1992-04-04,60.0,,5,,4000000.0
Ragin' Cajun (roller coaster),Other,,Zamperla,2004,,,Steel,,29.1,,0,2.5,
Racer (1910 roller coaster),Kennywood,Operating,Charlie Mach,1910,40.3869,-79.8619,Wood,1927-01-01,40.0,,0,,75000.0
Catwoman's Whip,Six Flags New England,Operating,Zierer,2000,42.0371,-72.6117,Steel,2000-05-05,22.4,,0,,
American Thunder (roller coaster),Six Flags St. Louis,Operating,Great Coasters International,2008,38.5125,-90.6772,Wood,2008-06-20,48.0,,0,,7000000.0
SooperDooperLooper,Hersheypark,Operating,Anton Schwarzkopf,1977,40.2864,-76.6536,Steel,1977-07-04,45.0,,1,,3000000.0
Jumbo Jet (Morey's Piers),Morey's Piers,Removed,Anton Schwarzkopf,1976,38.986,-74.809,Steel,1976-01-01,50.0,,0,,400000.0
Flip Flap Railway,Sea Lion Park,Removed,Lina Beecher,1895,40.578,-73.979,Wood,1895-01-01,,,1,12.0,
Serpent (roller coaster),Six Flags AstroWorld,Removed,Arrow Dynamics,1969,29.676,-95.407,Steel,1969-01-01,14.0,,0,,
Tornado (Adventureland),Adventureland (Iowa),Operating,Frontier Construction Company,1978,41.6515,-93.5025,Wood,1978-07-04,58.0,,0,,
Baron 1898,Efteling,Operating,Bolliger & Mabillard,2015,51.6482,5.0508,Steel,2015-07-01,55.9,98.4,2,,18000000.0
Skyrush,Hersheypark,Operating,Intamin,2012,,,Steel,2012-05-26,75.0,,0,5.0,25000000.0
Red Force (roller coaster),Ferrari Land,Operating,Intamin,2017,,,Steel,2017-04-07,111.8,367.5,0,,
Galactica (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,2002,52.9859,-1.8821,Steel,2002-03-16,46.6,65.6,2,3.5,12000000.0
Shockwave (Drayton Manor),Drayton Manor Theme Park,Operating,Intamin,1994,52.6125,-1.7161,Steel,1994-03-26,53.0,,4,4.0,4000000.0
Insane (Gröna Lund),Gröna Lund,Operating,Intamin,2009,59.3233,18.0953,Steel,2009-04-25,37.3,116.5,0,3.5,
Dragon Wagon (Indiana Beach),Indiana Beach,Removed,Wisdom Rides,2014,40.79,-86.7713,Steel,2014-08-01,,,0,,
Zeus (roller coaster),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,1997,43.6167,-89.7892,Wood,1997-06-07,60.0,,0,,
Thunder Dolphin,Tokyo Dome City Attractions,Operating,Intamin,2003,35.7063,139.7533,Steel,2003-05-01,80.8,262.5,0,4.4,37000000.0
Swamp Fox (roller coaster),Family Kingdom Amusement Park,Operating,Philadelphia Toboggan Coasters,1966,33.6825,-78.8917,Wood,1966-01-01,50.0,,0,,
Jet Star (Casino Pier),Casino Pier,Removed,Anton Schwarzkopf,1970,39.9426,-74.0692,Steel,1970-01-01,31.1,,0,,
Galaxi,Other,In Production,,1970,,,Other,,,,0,,
Wabash Cannonball (roller coaster),Opryland USA,Removed,Arrow Development,1975,36.2089,-86.6984,Steel,1975-01-01,50.0,,2,,
The Beast (roller coaster),Kings Island,Operating,Kings Island,1979,39.3402,-84.266,Wood,1979-04-14,64.8,,0,3.6,3200000.0
Recoil (Wonderla Hyderabad),Other,,Vekoma,2016,,,Steel,,47.0,,3,,
Corkscrew (Valleyfair),Valleyfair,Operating,Arrow Dynamics,1980,44.7996,-93.4563,Steel,1980-01-01,50.0,,3,3.5,
Woody Woodpecker's Nuthouse Coaster,Universal Studios Florida,Operating,Vekoma,1999,28.4739,-81.4649,Steel,1999-03-13,21.7,,0,,
F.L.Y. (roller coaster),Phantasialand,Operating,Vekoma,2020,50.7999,6.8792,Steel,,48.5,,2,,
Superman: Escape from Krypton,Other,Operating,Intamin,1997,34.425,-118.598,Steel,1997-03-15,100.0,,0,4.5,20000000.0
Stealth (roller coaster),Thorpe Park,Operating,Intamin,2006,51.405,-0.5153,Steel,2006-03-15,80.0,205.1,0,,12000000.0
Two Face: The Flip Side,Other,In Production,Vekoma,1999,,,Other,,50.0,,3,,
The Flying Dinosaur,Universal Studios Japan,Operating,Bolliger & Mabillard,2016,34.6634,135.4305,Steel,2016-03-18,62.0,,5,,10000000000.0
SheiKra,Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,2005,28.0367,-82.4244,Steel,2005-05-21,70.0,,1,4.0,13500000.0
Phoenix (roller coaster),Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,1985,40.8783,-76.5064,Wood,1985-06-15,45.0,,0,,1500000.0
Blue Fire,Europa-Park,Operating,Mack Rides,2009,48.2624,7.7185,Steel,2009-04-04,62.0,,4,3.8,
Flying Turns (Knoebels),Knoebels Amusement Resort,Operating,Knoebels Amusement Resort,2013,40.8784,-76.5051,Wood,2013-10-05,24.0,,0,,
Raptor (Gardaland),Gardaland,Operating,Bolliger & Mabillard,2011,45.4571,10.7119,Steel,2011-04-01,55.9,,3,,
Sesquicentennial Cyclone,Sesquicentennial Exposition,Removed,Traver Engineering,1926,39.9087,-75.1733,Wood,1926-05-31,,,0,,
The Howler,Holiday World & Splashin' Safari,Operating,Zamperla,1999,38.1189,-86.9103,Steel,1999-05-08,16.0,,0,,
Afterburner (Fun Spot),Fun Spot Amusement Park & Zoo,Removed,Arrow Development,1991,41.6769,-85.0312,Steel,1991-01-01,45.0,,2,4.0,
Giant Skyrocket,Other,,Lake Contrary Amusement Park,1941,,,Wood,,,,0,,75000.0
Runaway Mine Train (Six Flags Great Adventure),"Jackson, New Jersey, United States",Operating,,1974,40.1377,-74.4405,Other,,,,0,,
Outlaw Run,Silver Dollar City,Operating,Rocky Mountain Construction,2013,36.6681,-93.34,Wood,2013-03-15,68.0,,3,,10000000.0
Rattlesnake (roller coaster),Chessington World of Adventures,Operating,Maurer AG,1998,51.3487,-0.3178,Steel,1998-01-01,28.0,,0,,
TMNT Shellraiser,Nickelodeon Universe,Operating,Gerstlauer,2019,40.8066,-74.0712,Steel,2019-10-25,62.1,,7,,
DC Rivals HyperCoaster,Warner Bros. Movie World,Operating,Mack Rides,2017,-27.908,153.314,Steel,2017-09-22,71.5,202.1,0,4.3,30000000.0
Gemini (roller coaster),Other,Operating,Arrow Dynamics,1978,41.4863,-82.6897,Steel,1978-06-17,60.0,,0,,3400000.0
Sea Dragon (roller coaster),Rides At Adventure Cove,Operating,Philadelphia Toboggan Coasters,1956,40.1544,-83.1203,Wood,1956-01-01,25.0,,0,,
Silver Bullet (Frontier City),Other,,Anton Schwarzkopf,1986,,,Steel,,47.8,,1,,
Runaway Mine Train (Six Flags Over Texas),Six Flags Over Texas,Operating,Arrow Development,1966,32.7585,-97.0685,Steel,1966-07-23,35.0,,0,,1000000.0
Woodstock Express (Kings Dominion),Kings Dominion,Operating,Philadelphia Toboggan Coasters,2013,37.8405,-77.4422,Wood,1974-01-01,35.0,,0,,
Twister (Knoebels Amusement Resort),Knoebels Amusement Resort,Operating,Knoebels Amusement Resort,1999,40.8771,-76.5041,Wood,1999-07-24,51.0,,0,,3000000.0
Astro Storm,Other,,Zierer,1984,,,Steel,,37.0,,0,2.6,
Cobra (La Ronde),Other,,Intamin,1988,,,Steel,,48.0,,1,,
Falcon (Duinrell),Duinrell,Operating,Gerstlauer,2009,52.1477,4.3792,Steel,2009-05-14,43.5,72.2,3,4.5,
Salama (roller coaster),Linnanmäki,Operating,Maurer AG,2008,60.1872,24.9392,Steel,2008-04-25,37.3,,0,,
Rock 'n' Roller Coaster Starring Aerosmith,Other,,Vekoma,1999,,,Steel,,57.0,,3,5.0,
Timber Terror,Silverwood Theme Park,Operating,Custom Coasters International,1996,47.9044,-116.7094,Wood,1996-01-01,55.0,,0,,
Jersey Devil Coaster,Six Flags Great Adventure,Operating,Rocky Mountain Construction,2021,40.1377,-74.4405,Steel,2021-06-13,58.0,,3,,
Ultra Twister (Six Flags),Other,,TOGO,1986,,,Steel,,44.0,,3,,3000000.0
Steel Vengeance,Cedar Point,Operating,Rocky Mountain Construction,2018,41.4862,-82.6933,Steel,2018-05-05,74.0,,4,,
Thunderhead (roller coaster),Dollywood,Operating,Great Coasters International,2004,35.7967,-83.5319,Wood,2004-04-03,53.7,,0,,7000000.0
Cyclone (Six Flags New England),Six Flags New England,Operating,Rocky Mountain Construction,1983,42.0403,-72.6156,Steel,2015-05-24,55.0,,3,,10000000.0
Nighthawk (roller coaster),Other,,Vekoma,2004,,,Steel,,51.0,,5,4.3,17000000.0
Space Mountain (Magic Kingdom),Other,Operating,Arrow Development,1975,28.4192,-81.5772,Steel,1975-01-15,27.0,,0,3.7,
